Curator	Curator's notes	Deadline	Category	Song	Nathan	Rachel	Emily	Jonathan	Tera	Erik	Nana	Goose	Kristin	Jacob	Andreina	George	Jane	Tyler	Molly	Megan	Anna W	Average
Jacob	Key moments from this song I love:  - 0:00 The chords at the beginning  - 3:03 When the strings come in after the piano cadenza  - 3:30 The key change and the subsequent buildup  - 4:36 THIS WHOLE SECTION AGHHHHH  - 4:53 I can’t decide if this is the happiest piece in the whole wide world or the most heartbreaking   - 5:58 The double bass (turn up the volume on your headphones)	2/1	Not Pop	Piano Concerto No. 1 Mvmt 2 - Rachmaninoff	7.0	9.0	7.5	7.2	8.0	9.0	7.0				10.0					8.0		8.1
Jacob	- It is said that Liszt got the idea of writing this piece while watching the scenery change during a train ride   - I like to imagine taking a train back in time while listening to this piece, especially the ending  - I would recommend listening to this awesome Youtube Video: https://www.youtube.com/watch?v=GtH3O-IbHIU to get a better handle on this piece   Haha these are the pieces that got me through FSY (If you want more like this I have many many more) Disclaimer about both of these pieces: They are best enjoyed with headphones in bed with the lights off at like 1:00 AM 😌 I would fully recommend doing this to get the full experience	2/1	Not Pop	Transcendental Etude No. 3 - Liszt	3.0	7.0	9.0	8.0	4.0	6.0	5.0				10.0					6.0		6.4
Jacob	I highly recommend listening to this Youtube analysis to get a better understanding of the piece (starting at 6:07): https://www.youtube.com/watch?t=367&v=YqfbQ8VcK5A&feature=youtu.be	2/1	Not Pop	Transcendental Etude No. 11 - Liszt	5.0	4.0	10.0	6.5	8.0	7.0	10.0				10.0					8.0		7.6
Megan	Beautiful Spanish chill song!!!	2/8	Pop	Ojos Tristes - Selena Gomez	4.0	5.0	8.0	3.0	7.0	6.5		5.0		8.0								5.8
Megan	French funk song I LOVE and I’m excited to see what you guys think 🤭	2/8	Pop	Hématome - L'Imperatrice	3.5	6.0	8.0	6.5	1.0	7.0		2.0		6.0								5.0
Megan	I bet everyone will recognize this song, but I just love this version and it always hypes me up and I think Tori Kelly’s voice is so awesomesauce 🙂‍↕️😎	2/8	Pop	I Say a Little Prayer - Tori Kelli	5.0	7.0	3.0	4.0	5.0	7.5		7.0		7.0								5.7
Nathan	Vanessa Hudgens is an objectively bad singer who relies on autotune, but I for some reason actually love her voice (big High School Musical fanboy here). Alexandra Shipp also slays and this song is from the musical Tick Tick Boom by Jonathan Larson. The only other thing Jonathan Larson is known for is the musical Rent, which has the famous song “525,600 Minutes”.	2/15	Pop	Come to Your Senses - Alexandra Shipp		2.0	1.0	2.5	5.0	6.5				7.0					5.0	10.0		4.9
Nathan	I hated summer sales but during one of the morning meetings some guy played this song on his speaker to get all the guys pumped up and since that day I have never found a better pump-up song. Rachel asserts that it is not a “pump-up” song, but rather a “get ready in the morning” song. Whatever. Walk off the Earth also wrote Taekwondo, which is a Kellys/Guatemala song.	2/15	Pop	Oh What a Feeling - Walk Off the Earth		3.0	6.5	3.0	7.0	10.0				8.0					9.0	10.0		7.1
Nathan	I’m not actually expecting anybody to like this song, but I’m be curious if you do. I just think there is something captivating about the bridge / outro that I can’t really put my finger on, and thus it has been one of my top 5 most played songs the last 2 years.	2/15	Pop	Post Humorous - Gus Dapperton		3.5	5.0	4.5	3.0	3.0				7.0					6.0	7.0		4.9
Rachel	Song 1: my current favorite. amazing chill vibes, lovely voice, all very lowkey. Feels polished and raw at the same time. 	2/22	Pop	Chariot - MEGA	4.3		7.0	6.5	7.0	7.0	5.5		6.0	7.0						8.0		6.5
Rachel	Song #2: absolute bop from a musical that didn’t really pan out. Lyrics are fantastic, accompaniment is simple and fun.	2/22	Pop	Me and Mr. Popularity - Andrew Barth Feldman	8.0		7.0	3.0	8.0	8.0	6.1		4.0	6.0						2.0		5.8
Rachel	Song 3: My favorite song of the past two years by and large. Bulgarian folk song arranged for fully female choir. It’s about a boy that’s in love with his stepmom, but you can ignore that fact and bask in the HARMONIES, especially the magical phrase about 2/3 through.	2/22	Not Pop	The Evening Gathering - Bulgarian State Choir	4.0		9.0	7.5	5.0	1.0	2.0		4.0	9.0						7.0		5.4
Emily	La Llorona: (from coco soundtrack. In English, the weeping woman) Originally this was a Mexican folk tune about the Mexican ghost story La Llorona. I liked the folk song already and I think the arrangement for the movie is exciting and enjoyable, but preserves the sorrowful ethos of the original. The vocal quality evokes grief, and I love the guitar interlude.  Lucas often asks me to sing this song snd I happily oblige- I love to belt it out.	3/1	Pop	La Llorona - Angelica Vale	2.0	5.0		7.0	6.0	5.0	5.0			5.0	8.0					6.0		5.4
